"101","Caja"
"102","Bancos"
"103","Inversiones"
"104","Otros instrumentos financieros"
"105","Clientes"
"106","Cuentas y documentos por cobrar a corto plazo"
"107","Deudores diversos"
"108","Estimación de cuentas incobrables"
"109","Pagos anticipados"
"110","Subsidio al empleo por aplicar"
"111","Crédito al diesel por acreditar"
"112","Otros estímulos"
"113","Impuestos a favor"
"114","Pagos provisionales"
"115","Inventario"
"116","Estimación de inventarios obsoletos y de lento movimiento"
"117","Obras en proceso de inmuebles"
"118","Impuestos acreditables pagados"
"119","Impuestos acreditables por pagar"
"120","Anticipo a proveedores"
"121","Otros activos a corto plazo"
"151","Terrenos"
"152","Edificios"
"153","Maquinaria y equipo"
"154","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"155","Mobiliario y equipo de oficina"
"156","Equipo de cómputo"
"157","Equipo de comunicación"
"158","Activos biológicos, vegetales y semovientes"
"159","Obras en proceso de activos fijos"
"160","Otros activos fijos"
"161","Ferrocarriles"
"162","Embarcaciones"
"163","Aviones"
"164","Troqueles, moldes, matrices y herramental"
"165","Equipo de comunicaciones telefónicas"
"166","Equipo de comunicación satelital"
"167","Equipo de adaptaciones para personas con capacidades diferentes"
"168","Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"169","Otra maquinaria y equipo"
"170","Adaptaciones y mejoras"
"171","Depreciación acumulada de activos fijos"
"172","Pérdida por deterioro acumulado de activos fijos"
"173","Gastos diferidos"
"174","Gastos pre operativos"
"175","Regalías, asistencia técnica y otros gastos diferidos"
"176","Activos intangibles"
"177","Gastos de organización"
"178","Investigación y desarrollo de mercado"
"179","Marcas y patentes"
"180","Crédito mercantil"
"181","Gastos de instalación"
"182","Otros activos diferidos"
"183","Amortización acumulada de activos diferidos"
"184","Depósitos en garantía"
"185","Impuestos diferidos"
"186","Cuentas y documentos por cobrar a largo plazo"
"187","Participación de los trabajadores en las utilidades diferidas"
"188","Inversiones permanentes en acciones"
"189","Estimación por deterioro de inversiones permanentes en acciones"
"190","Otros instrumentos financieros"
"191","Otros activos a largo plazo"
"201","Proveedores"
"202","Cuentas por pagar a corto plazo"
"203","Cobros anticipados a corto plazo"
"204","Instrumentos financieros a corto plazo"
"205","Acreedores diversos a corto plazo"
"206","Anticipo de cliente"
"207","Impuestos trasladados"
"208","Impuestos trasladados cobrados"
"209","Impuestos trasladados no cobrados"
"210","Provisión de sueldos y salarios por pagar"
"211","Provisión de contribuciones de seguridad social por pagar"
"212","Provisión de impuesto estatal sobre nómina por pagar"
"213","Impuestos y derechos por pagar"
"214","Dividendos por pagar"
"215","PTU por pagar"
"216","Impuestos retenidos"
"217","Pagos realizados por cuenta de terceros"
"218","Otros pasivos a corto plazo"
"251","Acreedores diversos a largo plazo"
"252","Cuentas por pagar a largo plazo"
"253","Cobros anticipados a largo plazo"
"254","Instrumentos financieros a largo plazo"
"255","Pasivos por beneficios a los empleados a largo plazo"
"256","Otros pasivos a largo plazo"
"257","Participación de los trabajadores en las utilidades diferida"
"258","Obligaciones contraídas de fideicomisos"
"259","Impuestos diferidos"
"260","Pasivos diferidos"
"301","Capital social"
"302","Patrimonio"
"303","Reserva legal"
"304","Resultado de ejercicios anteriores"
"305","Resultado del ejercicio"
"306","Otras cuentas de capital"
"401","Ingresos"
"402","Devoluciones, descuentos o bonificaciones sobre ingresos"
"403","Otros ingresos"
"501","Costo de venta y/o servicio"
"502","Compras"
"503","Devoluciones, descuentos o bonificaciones sobre compras"
"504","Otras cuentas de costos"
"505","Costo de activo fijo"
"601","Gastos generales"
"602","Gastos de venta"
"603","Gastos de administración"
"604","Gastos de fabricación"
"605","Mano de obra directa"
"606","Facilidades administrativas fiscales"
"607","Participación de los trabajadores en las utilidades"
"608","Participación en resultados de subsidiarias"
"609","Participación en resultados de asociadas"
"610","Participación de los trabajadores en las utilidades diferida"
"611","Impuesto Sobre la renta"
"612","Gastos no deducibles para CUFIN"
"613","Depreciación contable"
"614","Amortización contable"
"701","Gastos financieros"
"702","Productos financieros"
"703","Otros gastos"
"704","Otros productos"
"801","UFIN del ejercicio"
"802","CUFIN del ejercicio"
"803","CUFIN de ejercicios anteriores"
"804","CUFINRE del ejercicio"
"805","CUFINRE de ejercicios anteriores"
"806","CUCA del ejercicio"
"807","CUCA de ejercicios anteriores"
"808","Ajuste anual por inflación acumulable"
"809","Ajuste anual por inflación deducible"
"810","Deducción de inversión"
"811","Utilidad o pérdida fiscal en venta y/o baja de activo fijo"
"812","Utilidad o pérdida fiscal en venta acciones o partes sociales"
"813","Pérdidas fiscales pendientes de amortizar actualizadas de ejercicios anteriores"
"814","Mercancías recibidas en consignación"
"815","Crédito fiscal de IVA e IEPS por la importación de mercancías para empresas certificadas"
"816","Crédito fiscal de IVA e IEPS por la importación de activos fijos para empresas certificadas"
"899","Otras cuentas de orden"